number,comments,upvotes
0,NO OTHER VOICE IS LIKE SIA'S VOICE PERFECT.,7.6K
0,Bam Bam i love this one ❤️,4
0,"Dear parents, just because your child is smiling at their phone, doesn't mean they have boyfriend or girlfriend, they are just watching this masterpiece.",27
0,LABRINTH VOCALS + SIA UNIQUE VOICE + DIPLO BEATS = 💥💥💥💥🔥🔥🔥,480
0,I am not joking this has to be one of the most underrated songs ever.,277
0,The melody is so original and catchy!,1.5K
0,"Sia Deserves Grammy
Agree?
👇",532
0,LSD is one of the greatest trio of all time in music industry. Listening this song makes me feel every feeling.,351
0,To the people watching this 25 years later this song was  (is) legendary.,325
0,Why Labrinth's voice soooooo attractive 💕 I love LSD,705
0,Sia is the best 😍💪,1K
0,go little girl!!!!! she is soooo good at dancing,17
0,"Okay but the way Labrinth says Marilyn Monroe🥵sounds so velvety, just me? Okay",106
0,this is the most brain refreshing song I ever heard,
0,"1:30 
Everytime i listen, I feel like im playing in Olympics 💪",11
0,this is my summer anthem,1K
0,"Fun Fact:
You Cant Describe Sia",21
0,"It's been 3 years finding the song
Finally found it",24
0,🎶We can't live on without the rhythm 🎶,14
0,Most underrated song of this generation so sad 😞,11
0,This album is turning out to be AMAZING !!!,441
0,"Balloon head women: Sia 
Butterfly man: Labrinth
Rocket head man: Diplo",28
0,Sia is one of the unique artists that you can't be tired of even across time.,100
0,"Not me just finding out that lsd mean labrinth, sia and diplo 💀💀",282
0,"Lyrics:
We got a ride, we got the night
I got the bottle, you got the light
We got the stars (stars)",303
0,QUEEN 👑 (and she doesn't even appear in the video as a person xD),273
0,This song accompanies my depression💯,9
0,This song is a vibe,153
0,if you are still here you have my respect,1
0,The song is so underrated,16
0,THIS GIVES ME SO MUCH VIIIIBES!!!!,280
0,"to be honest,
feel cry listen this,
We can't live on without the rhythm
rhythm as words from God,,",5
0,We can't live on without the rhythm,44
0,My crush send me this. And now  I started like him more for his choice.,12
0,"This song is really good already, but the video makes it even better",8
0,Me encanta,148
0,We can't live without the Rhythm ❤❤😍,53
0,"I'm still listening to this now, and I don't know but this song always giving me sad and happy vibes at the same time whenever I listen to it. 🖤💙",51
0,Am i the only who heard sia voice like she created her own accent in music?,9
0,"3 years later, if you're watching this, you're a legend.",1
0,This is 🔥,240
0,Finally I have found out what is this song called after two years xD Had to search for 'Marilyn Monroe' in lyrics of songs ✌️😂 but I'm here now.,50
0,""" we got the soul"" xo",8
0,As someone who barely listens to music I have to say this is the best song I've heard,4
0,The shot where the e31 headlights pop up on the beat drop was crispy.,14
0,Awesome GTA V gameplay!!,622
0,Melhor musica pra varrer a casa,1
0,"this song is so nostalgic, it feels like I have heard of it like 5 years ago or something",27
0,Hands down one of the most moving yet abstract collaborations of the century,9
0,"Amo ❤️ amo amo amo ❤️

Nós consegue viver sem o ritmooo❤️",17
0,Brings back a lot of memories.,120
0,I can’t my eyes off that little girl dancing. She gives me life!,8
0,MANO a meninazinha----- só talento,10
0,I really like the fact that the little girl dancing is just so cute,18
0,"This song remember me a special girl in my life ,  times comes back when I listen to it, best love days of my life, she´s the best , I love U and still remember U Mel S.",1
0,Can't wait to see you play later here in Manila!!!!!,61
0,I come back every day just to watch those tigers. They put a smile on my face everytime i see them running :3,13
0,One of sias most underrated songs. So catchy and vibey,22
0,"Hoy es el tercer aniversario de esta hermosa canción, felicidades #LSD",6
0,This song is a vibe,21
1,"Where is everybody listening from? ❤️



🎵 Spotify Playlist: http://spotify.syrebralvibes.com

⚡ Instagram: https://www.instagram.com/syrevibes",191
1,THIS IS GIVING ME SO MUCH VIBESSSSS 🙌🏽🙌🏽🙌🏽,1K
